                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7575,                 1.4984,                 1.8701,                0.62309,                 0.6281,                0.66392,                0.30343,                 1.9181,                 1.4391,                 2.1704,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.7767,                 1.4774,                 1.8802,                0.63401,                0.66691,                0.66405,                0.30989,                 1.9089,                 1.4017,                 2.2125,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.7657,                 1.4937,                 1.9076,                0.62101,                0.63684,                0.67293,                 0.2938,                 1.9037,                 1.3665,                 2.1897,              0.0012819,              0.0012819,              0.0012819
                     38,                 1.7438,                 1.4527,                 1.8327,                0.62877,                0.68599,                0.64896,                 0.2927,                 1.9413,                 1.3644,                 2.1499,              0.0012709,              0.0012709,              0.0012709
                     39,                 1.7778,                 1.4448,                 1.8677,                0.62596,                0.68479,                0.64949,                0.29454,                 1.9542,                 1.3618,                 2.1832,              0.0012599,              0.0012599,              0.0012599
                     40,                 1.7715,                 1.4961,                 1.8938,                0.61462,                 0.7658,                0.68159,                0.31544,                 1.9131,                  1.327,                 2.2152,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.7555,                 1.4684,                 1.8763,                0.61854,                0.68593,                0.66283,                0.30249,                 1.9533,                 1.3479,                 2.1901,              0.0012379,              0.0012379,              0.0012379
                     42,                 1.7576,                 1.4325,                 1.8621,                0.57342,                0.72841,                0.65952,                0.30887,                 1.8606,                 1.3386,                 2.1082,              0.0012269,              0.0012269,              0.0012269
                     43,                 1.7489,                  1.422,                 1.8562,                0.65979,                0.68461,                0.67567,                0.31511,                 1.9016,                 1.3962,                 2.1557,              0.0012159,              0.0012159,              0.0012159
                     44,                 1.7814,                 1.4055,                 1.8599,                0.68876,                0.63499,                0.69003,                0.30558,                  1.908,                 1.3522,                 2.1373,              0.0012049,              0.0012049,              0.0012049
